ID,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y
38,41.71,125.26,261.1,295.36,10.33,10.38,10.33,94.64,270.48,26.08,37.9,948.55,5691.88,5402.5,6436.25,7.97,18.0,3622.41,5.0,117.75,32.03,8.04,80.69,319812.0,3
39,43.25,125.61,265.42,297.92,10.36,10.38,10.31,90.41,282.54,25.55,37.29,951.95,5718.75,5422.5,6448.13,7.97,18.0,3618.25,5.0,110.59,34.67,8.05,80.44,315738.0,3
40,41.56,124.74,260.98,295.82,10.36,10.42,10.31,88.48,272.24,27.08,39.38,941.98,5717.5,5427.5,6442.5,7.95,18.0,3616.4,5.0,112.63,37.45,8.19,76.11,328129.0,3
41,41.85,124.82,264.32,300.84,10.35,10.4,10.31,91.48,273.61,29.55,41.86,938.82,5698.13,5405.63,6421.25,7.93,18.0,3613.63,5.0,111.23,21.34,8.61,73.07,318687.0,3
42,42.55,124.77,267.46,312.39,10.37,10.41,10.33,88.91,278.57,28.02,39.98,968.08,5683.13,5401.25,6418.13,7.9,18.0,3608.08,5.0,109.06,22.8,8.02,71.03,330696.0,3
43,42.34,125.05,264.42,302.09,10.36,10.4,10.3,93.39,282.37,25.25,37.07,954.94,5700.63,5406.88,6440.0,7.86,18.0,3611.32,5.0,110.15,22.8,8.02,71.03,311726.0,3
44,42.06,125.0,265.39,303.57,10.35,10.42,10.31,90.12,271.23,25.5,35.84,950.9,5695.0,5405.63,6435.0,7.81,18.0,3611.78,8.0,114.28,18.96,8.03,71.03,324195.0,3
45,40.55,124.68,259.29,293.0,10.35,10.4,10.33,94.26,274.03,26.16,35.93,952.58,5716.25,5421.88,6442.5,7.76,18.0,3606.7,8.0,112.71,12.34,8.02,92.68,325753.0,3
46,41.09,124.74,261.26,298.95,10.34,10.4,10.31,94.73,281.33,27.98,39.51,944.23,5703.75,5419.38,6448.75,7.71,18.0,3611.32,8.0,111.34,12.47,8.01,85.85,318279.0,3
47,40.42,124.58,258.74,296.05,10.35,10.37,10.29,94.73,281.33,27.77,39.37,947.36,5705.63,5414.38,6435.0,7.66,18.0,3614.55,8.0,112.28,14.15,7.98,78.11,332809.0,3
48,41.06,125.21,260.28,299.32,10.36,10.43,10.3,92.36,265.24,29.18,39.95,950.69,5682.5,5395.63,6418.13,7.6,18.0,3611.32,8.0,114.41,17.61,8.03,77.88,329755.0,3
49,41.21,125.0,261.58,299.87,10.35,10.44,10.34,94.76,267.99,28.93,39.15,945.68,5702.5,5401.88,6422.5,7.54,18.0,3606.23,8.0,111.28,19.25,8.01,82.44,331088.0,2
50,40.79,125.05,259.38,296.32,10.35,10.42,10.28,93.73,272.81,27.11,37.09,953.49,5703.13,5398.13,6435.63,7.48,18.0,3604.39,8.0,112.44,22.08,8.03,83.07,332715.0,2
51,41.91,125.32,262.91,300.36,10.36,10.38,10.29,93.36,271.73,29.6,34.98,957.14,5712.5,5415.0,6431.25,7.42,18.0,3609.93,8.0,113.76,24.69,7.98,78.82,327128.0,2
52,41.46,124.89,262.31,301.08,10.36,10.4,10.31,93.15,271.05,29.06,33.5,961.38,5700.0,5406.88,6443.75,7.36,18.0,3602.07,8.0,113.52,26.53,7.95,79.06,314593.0,2
53,40.93,124.97,260.03,295.23,10.35,10.43,10.31,94.93,266.47,29.63,34.1,950.32,5700.63,5405.0,6440.63,7.27,18.0,3600.69,10.0,115.87,38.13,7.9,78.72,311576.0,3
54,41.07,125.09,260.63,298.83,10.34,10.42,10.31,93.33,272.81,28.97,35.06,953.55,5702.5,5400.0,6395.63,7.23,18.0,3603.46,30.0,0.0,30.61,7.95,80.46,307823.0,3
55,42.07,125.4,262.97,301.32,10.33,10.41,10.31,93.2,265.27,26.86,33.53,950.95,5697.5,5406.25,6388.13,7.19,18.0,3596.53,30.0,0.0,28.1,7.94,80.04,320441.0,4
56,41.03,124.74,261.39,300.05,10.36,10.4,10.33,93.2,265.27,25.63,31.96,950.01,5681.25,5393.75,6375.63,7.19,18.0,3580.81,30.0,0.0,19.63,7.94,79.19,311174.0,4
57,41.56,125.08,261.2,298.41,10.34,10.44,10.31,87.33,256.2,25.87,34.26,949.43,5698.75,5415.63,6392.5,7.22,18.0,3558.63,30.0,0.0,20.2,7.95,78.17,303406.0,5
58,41.4,124.93,261.48,298.85,10.33,10.42,10.28,90.46,264.31,26.52,36.58,943.05,5698.75,5416.25,6389.38,7.32,18.0,3531.82,20.0,0.0,27.42,7.89,79.74,305537.0,5
59,41.28,124.98,260.34,295.18,10.35,10.4,10.32,89.36,273.06,27.22,37.74,942.83,5721.25,5428.13,6439.38,7.39,18.0,3517.96,10.0,685.45,20.08,7.95,80.86,298501.0,4
60,41.35,125.12,261.32,299.06,10.33,10.4,10.33,89.08,274.53,29.45,38.01,949.96,5693.75,5403.75,6411.25,7.46,18.0,3506.41,10.0,683.7,21.36,7.95,81.68,296271.0,4
61,43.56,125.44,269.53,309.71,10.34,10.42,10.33,95.14,269.86,29.49,36.86,953.57,5698.13,5416.88,6428.75,7.53,18.0,3505.02,10.0,685.08,28.54,7.95,80.65,299358.0,4
62,40.75,124.25,262.14,299.89,10.34,10.42,10.34,92.57,277.16,28.34,33.93,957.79,5704.38,5420.0,6416.25,7.58,18.0,3493.93,10.0,685.15,32.11,7.94,83.51,302303.0,3
63,41.61,125.23,261.93,293.59,10.35,10.35,10.33,93.04,274.14,26.69,30.48,964.33,5706.25,5420.0,6420.0,7.63,18.0,3496.24,10.0,681.34,26.75,7.95,79.87,297757.0,3
64,41.27,124.82,262.82,300.54,10.34,10.4,10.33,93.04,274.14,26.39,30.59,948.02,5691.88,5415.0,6420.0,7.67,18.0,3486.07,10.0,682.92,41.35,7.97,78.39,291635.0,3
65,41.81,125.32,262.88,297.79,10.35,10.39,10.33,89.16,270.11,30.88,36.63,934.09,5711.88,5413.75,6423.13,7.71,18.0,3487.0,10.0,683.32,47.21,7.95,77.31,302123.0,3
66,41.52,124.95,262.44,298.49,10.35,10.41,10.31,90.05,276.0,33.65,40.04,941.78,5683.75,5411.25,6409.38,7.74,18.0,3484.69,10.0,684.55,43.59,7.96,79.28,299005.0,3
67,41.0,124.86,260.8,297.31,10.35,10.41,10.33,95.58,263.25,32.23,37.52,957.23,5680.63,5405.0,6420.0,7.78,18.0,3470.36,10.0,681.82,55.89,7.92,79.33,299369.0,3
68,41.37,125.21,260.78,297.67,10.34,10.41,10.31,96.29,268.1,29.27,33.47,963.66,5710.0,5420.0,6429.38,7.81,18.0,3468.97,10.0,683.93,24.94,8.06,88.67,300716.0,3
69,41.5,124.99,262.45,297.2,10.35,10.42,10.32,95.19,276.12,25.13,27.32,961.03,5708.13,5415.0,6419.38,7.84,18.0,3466.66,10.0,683.87,18.9,8.08,89.0,307990.0,3
70,42.2,125.36,262.08,300.45,10.36,10.43,10.32,86.78,263.88,28.23,33.37,927.87,5681.25,5401.88,6406.88,7.87,18.0,3461.58,10.0,680.54,18.8,8.08,89.0,313707.0,3
71,42.34,124.98,263.95,300.22,10.35,10.39,10.34,87.86,270.37,32.23,39.08,935.49,5712.5,5423.75,6386.25,7.9,18.0,3461.58,20.0,0.0,17.87,8.1,60.22,323202.0,3
72,42.31,124.98,262.53,299.39,10.37,10.41,10.31,84.18,275.72,30.92,37.69,957.49,5683.75,5406.88,6386.25,7.95,18.0,3448.18,20.0,0.0,17.33,7.98,58.75,318698.0,4
73,41.21,124.52,259.82,296.34,10.35,10.43,10.32,83.46,281.9,23.69,32.81,963.79,5720.63,5421.88,6441.25,8.04,18.0,3440.78,0.0,4.59,27.54,7.92,69.36,320972.0,3
74,41.67,125.16,260.56,297.02,10.36,10.38,10.33,83.46,281.9,24.6,35.11,943.45,5690.63,5404.38,6433.75,8.14,18.0,3441.24,0.0,4.59,27.92,7.99,79.04,303639.0,2
75,44.48,126.17,268.61,300.36,10.35,10.4,10.33,85.18,265.4,26.99,39.85,934.21,5705.63,5410.63,6422.5,8.19,18.0,3438.01,0.0,4.59,36.77,8.0,80.35,302239.0,2
76,41.42,124.02,261.19,299.05,10.33,10.39,10.36,90.13,268.68,36.03,45.82,939.59,5713.13,5419.38,6445.0,8.21,18.0,3428.3,4.0,4.59,41.15,7.95,81.17,290994.0,2
77,41.64,124.97,261.07,295.96,10.35,10.41,10.33,89.68,277.91,27.03,40.78,954.75,5707.5,5408.13,6430.63,8.22,18.0,3434.31,4.0,4.58,20.77,7.97,83.74,290274.0,2
78,42.6,125.12,264.71,301.63,10.34,10.41,10.34,91.46,277.98,24.88,37.96,960.99,5700.0,5418.13,6430.0,8.23,18.0,3432.92,2.0,4.59,22.07,7.97,80.81,282738.0,2
79,42.77,125.46,265.09,299.24,10.36,10.41,10.33,90.76,277.22,24.26,37.33,948.47,5695.0,5402.5,6417.5,8.22,18.0,3435.23,2.0,4.59,32.98,7.95,79.17,286085.0,2
80,41.57,124.51,261.1,296.84,10.36,10.41,10.32,90.1,274.78,27.65,41.25,942.46,5705.0,5418.75,6435.0,8.21,18.0,3433.39,2.0,4.59,34.63,7.95,79.02,284739.0,2
81,41.95,124.97,262.06,299.94,10.37,10.4,10.33,88.55,281.76,56.66,43.8,943.22,5701.88,5413.13,6438.75,8.2,18.0,3433.85,2.0,4.59,27.27,7.95,78.43,283879.0,2
82,42.49,125.25,262.34,299.61,10.35,10.37,10.32,89.77,275.72,25.79,38.21,973.45,5712.5,5410.0,6433.75,8.19,18.0,3434.77,2.0,4.54,42.04,7.91,77.14,282711.0,2
83,41.95,124.77,261.6,299.4,10.36,10.4,10.33,89.56,276.75,25.23,36.48,953.62,5711.88,5420.63,6448.75,8.18,18.0,3436.16,2.0,4.59,32.6,7.94,79.25,282183.0,2
84,42.77,125.21,264.57,301.74,10.35,10.41,10.3,89.56,276.75,26.92,38.38,936.84,5716.88,5411.88,6450.63,8.15,18.0,3436.62,2.0,4.59,37.64,7.93,80.09,284226.0,2
85,41.43,124.88,260.71,295.47,10.37,10.42,10.3,84.41,267.25,30.69,41.71,938.51,5692.5,5402.5,6422.5,8.13,18.0,3431.54,8.0,4.59,38.04,7.94,80.22,287919.0,2
86,42.07,125.09,261.39,297.67,10.33,10.42,10.32,84.19,276.66,29.91,40.47,972.32,5711.25,5418.75,6437.5,8.1,18.0,3434.31,8.0,4.75,38.04,7.94,80.22,25132.7,2
87,42.01,124.93,262.94,299.95,10.38,10.43,10.33,86.5,265.89,26.16,35.32,960.12,5710.63,5405.63,6419.38,8.07,18.0,3431.54,13.5,1217.26,38.04,7.94,80.22,282232.0,2
88,42.22,125.1,263.09,301.19,10.34,10.42,10.33,86.54,274.35,28.64,39.08,944.44,5686.25,5400.0,6418.13,8.01,18.0,3437.54,10.0,827.47,41.68,7.93,77.62,285408.0,3
89,42.76,125.31,264.18,300.08,10.35,10.23,10.29,87.17,275.8,30.88,40.92,939.75,5698.13,5405.63,6430.63,8.0,18.0,3444.48,10.0,831.08,40.13,7.88,56.35,288538.0,3
90,41.48,124.62,260.69,298.54,10.35,10.26,10.31,87.85,274.77,27.36,37.22,956.92,5694.38,5400.63,6407.5,7.98,18.0,3400.57,10.0,831.52,48.37,7.86,64.57,287566.0,2
91,40.98,124.81,258.7,295.76,10.37,10.28,10.3,88.8,267.86,25.11,34.31,954.62,5691.88,5407.5,6409.38,7.97,18.0,3401.96,10.0,829.74,43.8,7.84,67.61,286342.0,2
92,41.09,124.93,258.77,297.4,10.35,10.12,10.32,88.71,270.53,26.41,37.42,945.6,5709.38,5403.75,6423.75,7.96,20.0,3396.88,9.0,553.42,33.65,7.94,74.25,287156.0,2
93,42.54,125.55,262.71,299.02,10.36,10.08,10.31,88.71,270.53,29.1,41.53,939.89,5708.75,5410.0,6424.38,7.94,20.0,3399.65,10.0,553.08,27.38,7.94,72.86,285722.0,2
94,41.86,124.67,263.16,303.04,10.35,10.26,10.29,88.1,262.6,28.02,40.78,949.82,5712.5,5415.0,6429.38,7.93,20.0,3394.56,10.0,552.84,26.84,7.94,77.42,280753.0,2
95,40.14,124.63,256.25,290.43,10.35,10.25,10.32,87.15,259.75,28.47,42.16,949.14,5711.88,5414.38,6430.63,7.91,20.0,3400.57,9.0,550.66,20.49,7.95,81.47,279767.0,2
96,41.99,125.4,261.98,299.26,10.34,10.25,10.27,86.41,266.69,28.36,42.1,969.25,5709.38,5413.75,6438.13,7.89,20.0,3397.8,9.0,551.61,17.05,7.99,82.54,278912.0,2
97,41.37,124.87,259.46,296.9,10.34,10.24,10.32,89.39,259.57,22.45,34.45,967.11,5703.13,5408.75,6432.5,7.87,20.0,3392.25,9.0,551.32,17.61,7.94,78.74,284472.0,2
98,41.9,125.01,261.82,300.36,10.34,10.27,10.3,86.67,263.69,25.47,39.51,935.36,5713.75,5418.13,6434.38,7.85,20.0,3395.49,9.0,551.01,16.87,7.9,78.08,282257.0,2
99,41.97,125.18,260.36,292.29,10.34,10.27,10.34,87.65,260.96,25.48,39.46,951.3,5706.25,5409.38,6431.25,7.82,20.0,3393.64,9.0,549.93,16.87,7.9,78.09,285349.0,2
100,41.2,124.71,259.93,298.36,10.33,10.25,10.32,87.48,256.66,32.55,44.19,929.43,5709.38,5395.0,6417.5,7.8,20.0,3387.63,13.0,38.14,15.07,7.97,78.86,283476.0,2
101,42.35,125.61,260.85,296.15,10.36,10.27,10.32,87.71,264.17,27.65,41.16,948.66,5681.25,5397.5,6418.13,7.78,20.0,3386.71,13.0,38.61,12.86,8.04,81.92,282192.0,3
102,41.53,124.84,259.77,296.81,10.35,10.24,10.32,89.03,257.98,27.24,40.93,946.69,5689.38,5403.13,6421.25,7.73,20.0,3388.56,13.0,36.64,11.85,7.99,82.75,284597.0,3
103,41.18,124.79,258.35,294.61,10.36,10.25,10.32,89.03,257.98,28.48,40.4,954.81,5695.63,5405.0,6450.63,7.69,20.0,3384.86,12.0,39.05,11.83,7.94,84.3,283571.0,2
104,41.98,125.26,260.51,297.54,10.34,10.25,10.32,90.24,255.07,22.7,31.4,987.03,5706.88,5413.75,6440.63,7.64,20.0,3395.95,12.0,36.61,16.91,7.94,82.5,284449.0,2
105,41.87,124.8,260.74,298.99,10.33,10.28,10.32,88.48,250.88,26.15,36.62,941.73,5713.75,5416.88,6436.25,7.6,20.0,3395.95,12.0,37.86,16.55,7.93,79.62,284947.0,2
106,40.93,124.87,256.67,287.42,10.36,10.24,10.32,88.99,242.18,36.96,45.03,933.31,5695.63,5397.5,6431.25,7.56,20.0,3384.86,12.0,38.26,16.17,7.91,77.19,281703.0,2
107,41.31,125.05,259.67,299.53,10.36,10.11,10.35,89.63,248.99,35.98,44.36,949.32,5709.38,5413.13,6450.0,7.51,20.0,3386.71,12.0,36.46,12.41,8.04,80.39,277860.0,2
108,41.38,124.71,259.67,298.72,10.35,10.13,10.35,87.8,249.62,26.43,35.89,966.13,5685.63,5401.88,6431.25,7.46,20.0,3392.25,12.0,38.38,13.65,8.02,79.38,282264.0,2
109,41.24,124.96,260.93,298.67,10.35,10.42,10.34,89.9,269.28,27.05,36.9,940.52,5689.38,5403.75,6431.88,7.41,20.0,3388.56,12.0,35.79,12.78,8.01,79.74,281579.0,2
110,41.58,125.11,260.91,298.63,10.34,10.4,10.32,89.46,279.86,28.58,38.58,952.01,5698.75,5408.13,6441.88,7.36,20.0,3395.95,10.0,36.1,16.47,8.03,80.02,286373.0,2
111,44.1,126.21,268.27,306.87,10.34,10.26,10.33,84.35,231.78,27.14,37.15,960.59,5710.63,5416.25,6445.0,7.32,20.0,3386.71,13.0,70.15,18.67,7.9,75.86,298101.0,2
112,42.62,124.28,267.22,306.28,10.35,10.25,10.32,82.13,251.9,24.37,32.48,983.73,5695.63,5405.63,6427.5,7.27,20.0,3394.1,12.0,68.8,16.12,7.95,75.76,290146.0,2
113,41.08,124.6,260.95,296.32,10.51,10.26,10.3,82.13,251.9,26.35,36.79,929.52,5713.13,5426.25,6441.25,7.24,20.0,3383.01,18.0,603.7,12.23,8.19,79.87,286757.0,3
114,43.1,125.33,265.21,304.87,10.48,10.23,10.31,91.93,271.83,30.32,41.48,948.3,5713.13,5406.88,6417.5,7.21,20.0,3390.41,20.0,1009.98,9.06,8.13,82.07,305082.0,3
115,41.74,124.87,260.72,295.62,10.52,10.23,10.31,92.91,279.38,35.39,45.33,924.24,5692.5,5401.88,6415.0,7.17,20.0,3386.71,22.0,1152.76,10.33,8.49,81.49,277986.0,3
116,42.47,124.97,262.79,299.31,10.49,10.25,10.29,92.2,282.72,27.08,39.21,972.81,5691.88,5399.38,6404.38,7.14,20.0,3375.62,30.0,0.0,16.84,8.16,79.9,291646.0,3
117,42.32,124.97,262.54,299.11,10.49,10.27,10.33,89.24,281.13,22.73,33.46,946.53,5692.5,5408.13,6395.0,7.12,20.0,3357.13,20.0,0.0,28.21,8.07,74.62,289312.0,5
118,42.52,125.21,261.98,295.0,10.5,10.27,10.3,91.6,274.78,21.55,32.5,929.27,5709.38,5411.25,6411.25,7.11,20.0,3353.43,18.0,0.0,48.68,8.0,72.8,295972.0,5
119,42.09,124.72,261.9,299.52,10.5,10.26,10.32,89.56,274.57,24.92,38.13,958.27,5693.13,5403.75,6396.25,7.12,20.0,3344.19,17.0,394.02,42.85,8.03,78.35,297995.0,5
120,42.47,125.05,262.1,299.63,10.49,10.27,10.34,90.08,271.94,30.71,43.66,942.23,5710.0,5415.0,6425.63,7.14,20.0,3323.85,15.0,1766.54,39.28,7.99,80.62,300021.0,5
121,42.52,124.85,261.84,298.01,10.53,10.24,10.32,91.29,284.41,26.86,40.5,957.14,5687.5,5407.5,6414.38,7.17,20.0,3323.85,15.0,1752.08,44.42,7.97,80.3,293614.0,4
122,42.28,125.2,260.56,297.82,10.5,10.26,10.33,92.18,274.68,24.26,36.26,971.7,5703.13,5415.63,6416.25,7.19,20.0,3312.76,17.0,1762.02,48.08,7.97,79.85,296528.0,4
123,43.16,125.03,264.07,301.69,10.48,10.26,10.32,92.18,274.68,25.08,36.68,943.52,5714.38,5414.38,6430.0,7.22,20.0,3301.67,9.0,548.43,70.15,8.02,80.56,292677.0,4
124,42.18,124.84,260.84,297.1,10.5,10.26,10.32,86.89,278.54,24.1,33.95,950.13,5705.0,5412.5,6416.25,7.25,20.0,3301.67,9.0,545.98,90.88,7.9,78.61,294301.0,4
125,43.06,125.12,264.36,303.6,10.51,10.25,10.32,89.12,274.66,27.03,37.68,943.01,5712.5,5411.88,6430.0,7.28,20.0,3292.43,9.0,546.02,65.73,7.92,78.13,289770.0,4
126,41.77,124.74,261.86,299.87,10.53,10.22,10.32,93.25,278.17,32.82,42.07,944.31,5706.88,5413.13,6419.38,7.3,20.0,3296.12,15.0,549.2,59.97,7.93,78.86,295303.0,4
127,43.77,125.35,266.27,305.47,10.35,10.25,10.29,93.99,286.27,27.57,37.44,972.6,5692.5,5416.25,6411.25,7.32,20.0,3296.12,13.0,551.02,51.64,7.92,79.99,294319.0,5
128,42.03,124.6,262.73,299.81,10.35,10.26,10.32,93.5,276.85,25.01,34.52,946.62,5709.38,5421.88,6440.63,7.35,20.0,3316.46,13.0,549.51,31.49,7.87,80.45,297895.0,5
129,42.54,125.09,262.19,299.88,10.33,10.24,10.31,99.64,269.04,27.5,36.92,935.86,5706.88,5419.38,6443.13,7.37,20.0,3527.2,12.0,545.08,31.5,7.87,80.45,301848.0,5
130,42.03,125.02,260.63,296.65,10.34,10.24,10.3,97.01,276.49,30.86,40.12,964.42,5710.63,5414.38,6411.25,7.39,20.0,3765.68,18.0,0.0,29.21,7.91,80.72,291187.0,5
131,42.61,124.93,263.1,300.75,10.34,10.1,10.34,98.25,272.29,27.47,36.15,963.78,5681.88,5405.0,6406.88,7.42,20.0,4007.39,10.0,877.79,24.59,7.88,82.5,295546.0,4
