ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module
38,2020/7/16,,1607,14.82,499.8,25.11,121.26,22,4117,30.3,1
39,2020/7/17,,2971,26.91,499.8,25.11,121.26,22,7475,30.5,1
40,2020/7/18,,3116,28.19,499.8,25.11,121.26,22,7831,30.8,1
41,2020/7/19,,2705,22.21,499.8,25.11,121.26,22,6169,30.6,1
42,2020/7/20,,2769,22.24,499.8,25.11,121.26,22,6178,29.5,1
43,2020/7/21,,2667,16.62,499.8,25.11,121.26,22,4617,29.3,1
44,2020/7/22,,2970,25.28,499.8,25.11,121.26,22,7022,29.7,1
45,2020/7/23,,2783,23.16,499.8,25.11,121.26,22,6433,30,1
46,2020/7/24,,2829,26.46,499.8,25.11,121.26,22,7350,30.7,1
47,2020/7/25,,2264,17.91,499.8,25.11,121.26,22,4975,30,1
48,2020/7/26,,2726,20.42,499.8,25.11,121.26,22,5672,30,1
49,2020/7/27,,2301,16.89,499.8,25.11,121.26,22,4692,29,1
50,2020/7/28,,1806,12.59,499.8,25.11,121.26,22,3497,28.8,1
51,2020/7/29,,2891,21.8,499.8,25.11,121.26,22,6056,31.2,1
52,2020/7/30,,1680,14.05,499.8,25.11,121.26,22,3903,30.6,1
53,2020/7/31,,2921,22.42,499.8,25.11,121.26,22,6228,32.2,1
54,2020/8/1,,2642,23.4,499.8,25.11,121.26,22,6500,31.1,1
55,2020/8/2,,2402,17.62,499.8,25.11,121.26,22,4894,29.6,1
56,2020/8/3,,788,3.72,499.8,25.11,121.26,22,1033,26.2,1
57,2020/8/4,,2008,14.32,499.8,25.11,121.26,22,3978,28,1
58,2020/8/5,,2401,15.76,499.8,25.11,121.26,22,4378,28.3,1
59,2020/8/6,,2959,26.59,499.8,25.11,121.26,22,7386,30,1
60,2020/8/7,,2861,18.53,499.8,25.11,121.26,22,5147,29.5,1
61,2020/8/8,,2659,20.04,499.8,25.11,121.26,22,5567,29.2,1
62,2020/8/9,,1898,18.82,499.8,25.11,121.26,22,5228,29,1
63,2020/8/10,,2154,15.64,499.8,25.11,121.26,22,4344,28.9,1
64,2020/8/11,,1140,6.94,499.8,25.11,121.26,22,1928,27.3,1
65,2020/8/12,,2763,22.13,499.8,25.11,121.26,22,6147,28.8,1
66,2020/8/13,,2706,21.78,499.8,25.11,121.26,22,6050,29.2,1
67,2020/8/14,,2715,16.81,499.8,25.11,121.26,22,4669,28.6,1
68,2020/8/15,,2136,15.07,499.8,25.11,121.26,22,4186,27.8,1
69,2020/8/16,,2356,15.16,499.8,25.11,121.26,22,4211,28,1
70,2020/8/17,,2367,21.94,499.8,25.11,121.26,22,6094,30,1
71,2020/8/18,,2031,16.45,499.8,25.11,121.26,22,4569,30.4,1
72,2020/8/19,,2888,23.92,499.8,25.11,121.26,22,6644,31.2,1
73,2020/8/20,,2857,22.77,499.8,25.11,121.26,22,6325,31.2,1
74,2020/8/21,,2895,26.82,499.8,25.11,121.26,22,7450,31,1
75,2020/8/22,,2203,18.02,499.8,25.11,121.26,22,5006,27.8,1
76,2020/8/23,,2887,23.28,499.8,25.11,121.26,22,6467,28.6,1
77,2020/8/24,,2467,21.71,499.8,25.11,121.26,22,6031,29.7,1
78,2020/8/25,,2805,25.32,499.8,25.11,121.26,22,7033,30.6,1
79,2020/8/26,,2731,23.67,499.8,25.11,121.26,22,6575,30.5,1
80,2020/8/27,,1696,13.93,499.8,25.11,121.26,22,3869,28.4,1
81,2020/8/28,,2213,,499.8,25.11,121.26,22,0,28.8,1
82,2020/8/29,,2272,,499.8,25.11,121.26,22,0,29.1,1
83,2020/8/30,,2497,20.68,499.8,25.11,121.26,22,5744,30.1,1
84,2020/8/31,,2244,15.67,499.8,25.11,121.26,22,4353,28.3,1
85,2020/9/1,,2348,19.01,499.8,25.11,121.26,22,5281,28.9,1
86,2020/9/2,,2650,23.8,499.8,25.11,121.26,22,6611,30.2,1
87,2020/9/3,,1519,11.19,499.8,25.11,121.26,22,3108,27.6,1
88,2020/9/4,,2636,22.44,499.8,25.11,121.26,22,6233,27.6,1
89,2020/9/5,,2347,21.03,499.8,25.11,121.26,22,5842,27,1
90,2020/9/6,,2755,25.9,499.8,25.11,121.26,22,7194,25.3,1
91,2020/9/7,,2508,20.43,499.8,25.11,121.26,22,5675,26.9,1
92,2020/9/8,,2051,16.14,499.8,25.11,121.26,22,4483,28.4,1
93,2020/9/9,,2165,19.92,499.8,25.11,121.26,22,5533,28.1,1
94,2020/9/10,,1346,9.34,499.8,25.11,121.26,22,2594,27.4,1
95,2020/9/11,,2059,17.16,499.8,25.11,121.26,22,4767,28.7,1
96,2020/9/12,,1768,14.1,499.8,25.11,121.26,22,3917,27.5,1
97,2020/9/13,,1912,12.23,499.8,25.11,121.26,22,3397,27.3,1
98,2020/9/14,,2570,19.98,499.8,25.11,121.26,22,5550,27.6,1
99,2020/9/15,,2238,15.89,499.8,25.11,121.26,22,4414,27.6,1
100,2020/9/16,,2480,19.15,499.8,25.11,121.26,22,5319,28.1,1
101,2020/9/17,,2427,20.08,499.8,25.11,121.26,22,5578,28.1,1
102,2020/9/18,,2389,21.09,499.8,25.11,121.26,22,5858,28.3,1
103,2020/9/19,,2086,15.06,499.8,25.11,121.26,22,4183,28.7,1
104,2020/9/20,,1851,13.13,499.8,25.11,121.26,22,3647,27,1
105,2020/9/21,,1836,14.23,499.8,25.11,121.26,22,3953,26.3,1
106,2020/9/22,,2620,22.52,499.8,25.11,121.26,22,6256,25.7,1
107,2020/9/23,,2528,22.34,499.8,25.11,121.26,22,6206,26.2,1
108,2020/9/23,47.2,2351,21.83,492.8,24.107,120.44,4.63,155188,27.8,2
109,2020/9/24,,256,2.66,499.8,25.11,121.26,22,739,23.8,1
110,2020/9/24,38.1,1743,20.54,492.8,24.107,120.44,4.63,128667,27.5,2
111,2020/9/24,38.9,1155,20.54,246.4,24.107,120.44,4.63,257333,27.5,2
112,2020/9/25,,633,5.86,499.8,25.11,121.26,22,1628,23.2,1
113,2020/9/25,34.8,1735,16.45,492.8,24.107,120.44,4.63,96325,26.7,2
114,2020/9/25,35,878,16.45,246.4,24.107,120.44,4.63,192650,26.7,2
115,2020/9/26,,462,3.95,499.8,25.11,121.26,22,1097,22.9,1
116,2020/9/26,44.5,1928,16.29,492.8,24.107,120.44,4.63,109996,27,2
117,2020/9/26,44.6,980,16.29,246.4,24.107,120.44,4.63,219992,27,2
118,2020/9/27,,283,1.91,499.8,25.11,121.26,22,531,21.1,1
119,2020/9/27,29.4,1065,9.34,492.8,24.107,120.44,4.63,56121,24.8,2
120,2020/9/27,29.4,541,9.34,246.4,24.107,120.44,4.63,112242,24.8,2
121,2020/9/27,30.6,219,9.34,99.2,24.08,120.5,1.76,224483,24.9,2
122,2020/9/28,,283,2.53,499.8,25.11,121.26,22,703,21.9,1
123,2020/9/28,40.2,188,8.02,99.2,24.08,120.5,1.76,180433,25.2,2
124,2020/9/28,33,456,8.02,246.4,24.107,120.44,4.63,90217,25.3,2
125,2020/9/28,33.2,897,8.02,492.8,24.107,120.44,4.63,45108,25.3,2
126,2020/9/29,,1390,9.54,499.8,25.11,121.26,22,2650,24,1
127,2020/9/29,47.7,464,21.04,99.2,24.08,120.5,1.76,547317,26.7,2
128,2020/9/29,42.5,1230,21.04,246.4,24.107,120.44,4.63,273658,26.9,2
129,2020/9/29,42.6,1887,21.04,492.8,24.107,120.44,4.63,136829,26.9,2
130,2020/9/30,,640,4.33,499.8,25.11,121.26,22,1203,21.2,1
131,2020/9/30,36.3,915,14.83,246.4,24.107,120.44,4.63,205850,25.3,2
132,2020/9/30,36.5,1806,14.83,492.8,24.107,120.44,4.63,102925,25.3,2
133,2020/9/30,37.9,356,14.83,99.2,24.08,120.5,1.76,411700,25.3,2
134,2020/10/1,,2497,20.83,499.8,25.11,121.26,22,5786,24.4,1
135,2020/10/1,41.6,2091,21.86,492.8,24.107,120.44,4.63,157117,26.5,2
136,2020/10/1,41.9,1056,21.86,246.4,24.107,120.44,4.63,314233,26.5,2
137,2020/10/1,46.7,519,21.86,99.2,24.08,120.5,1.76,628467,26.6,2
138,2020/10/2,,2525,22.69,499.8,25.11,121.26,22,6303,26.7,1
139,2020/10/2,44.3,2654,22.26,492.8,24.107,120.44,4.63,156221,27.1,2
140,2020/10/2,44.4,1355,22.26,246.4,24.107,120.44,4.63,312433,27.1,2
141,2020/10/2,50.4,511,22.26,99.2,24.08,120.5,1.76,624883,27.4,2
142,2020/10/3,,2385,19.4,499.8,25.11,121.26,22,5389,27.7,1
143,2020/10/3,47.2,1382,22.81,246.4,24.107,120.44,4.63,329225,27.8,2
144,2020/10/3,47.4,2700,22.81,492.8,24.107,120.44,4.63,164608,27.8,2
145,2020/10/3,51.4,521,22.81,99.2,24.08,120.5,1.76,658433,28.1,2
146,2020/10/4,,2397,22.25,499.8,25.11,121.26,22,6181,27.8,1
147,2020/10/4,49.9,2582,22.42,492.8,24.107,120.44,4.63,156563,28,2
148,2020/10/4,50.3,1323,22.42,246.4,24.107,120.44,4.63,313125,28,2
149,2020/10/4,54.2,502,22.42,99.2,24.08,120.5,1.76,626250,28.6,2
150,2020/10/5,,201,2.81,499.8,25.11,121.26,22,781,23.9,1
151,2020/10/5,40.5,2593,21.92,492.8,24.107,120.44,4.63,152008,27,2
152,2020/10/5,41,1321,21.92,246.4,24.107,120.44,4.63,304017,27,2
153,2020/10/5,43.7,504,21.92,99.2,24.08,120.5,1.76,608033,27.1,2
154,2020/10/6,,942,9.25,499.8,25.11,121.26,22,2569,23.6,1
155,2020/10/6,36.1,1354,22.18,246.4,24.107,120.44,4.63,307150,25.5,2
156,2020/10/6,36.2,2630,22.18,492.8,24.107,120.44,4.63,153575,25.5,2
157,2020/10/6,41.3,473,22.18,99.2,24.08,120.5,1.76,614300,25.7,2
158,2020/10/7,,669,6.07,499.8,25.11,121.26,22,1686,23.7,1
159,2020/10/7,39.4,488,20.8,99.2,24.08,120.5,1.76,601367,25.2,2
160,2020/10/7,36.2,1305,20.8,246.4,24.107,120.44,4.63,300683,25.3,2
161,2020/10/7,36.9,2556,20.8,492.8,24.107,120.44,4.63,150342,25.3,2
162,2020/10/8,,1655,5.47,499.8,25.11,121.26,22,1519,23,1
163,2020/10/8,35.5,2400,17.78,492.8,24.107,120.44,4.63,138963,25.8,2
164,2020/10/8,36.1,1224,17.78,246.4,24.107,120.44,4.63,277917,25.8,2
165,2020/10/8,42.2,468,17.78,99.2,24.08,120.5,1.76,555850,26,2
166,2020/10/9,,1319,6.59,499.8,25.11,121.26,22,1831,22.7,1
167,2020/10/9,37.8,2422,21.62,492.8,24.107,120.44,4.63,142050,25.5,2
168,2020/10/9,37.9,1232,21.62,246.4,24.107,120.44,4.63,284100,25.5,2
169,2020/10/9,41.4,489,21.62,99.2,24.08,120.5,1.76,568200,25.7,2
170,2020/10/10,,559,6.36,499.8,25.11,121.26,22,1767,23.7,1
171,2020/10/10,39,2571,21.76,492.8,24.107,120.44,4.63,144675,25.4,2
172,2020/10/10,39.1,1311,21.76,246.4,24.107,120.44,4.63,289350,25.4,2
173,2020/10/10,41.5,508,21.76,99.2,24.08,120.5,1.76,578700,25.4,2
174,2020/10/11,,1231,20.12,499.8,25.11,121.26,22,5589,25,1
175,2020/10/11,48,500,21.37,99.2,24.08,120.5,1.76,575950,26.4,2
176,2020/10/11,39.1,1224,21.37,246.4,24.107,120.44,4.63,287975,26.5,2
177,2020/10/11,40.6,2396,21.37,492.8,24.107,120.44,4.63,143988,26.5,2
178,2020/10/12,,1573,16.35,499.8,25.11,121.26,22,4542,25.2,1
179,2020/10/12,41.1,2288,18.48,492.8,24.107,120.44,4.63,135025,27.1,2
180,2020/10/12,41.3,1169,18.48,246.4,24.107,120.44,4.63,270050,27.1,2
181,2020/10/12,50,453,18.48,99.2,24.08,120.5,1.76,540100,27.4,2
182,2020/10/13,,1017,12.48,499.8,25.11,121.26,22,3467,24.5,1
183,2020/10/13,42.4,1184,,246.4,24.107,120.44,4.63,272433,26.9,2
184,2020/10/13,42.6,2320,,492.8,24.107,120.44,4.63,136217,26.9,2
185,2020/10/13,53.5,464,,99.2,24.08,120.5,1.76,544867,27.1,2
186,2020/10/14,,837,12.75,499.8,25.11,121.26,22,3542,24.6,1
187,2020/10/14,41.1,2187,2.54,492.8,24.107,120.44,4.63,131225,26.6,2
188,2020/10/14,41.7,1116,2.54,246.4,24.107,120.44,4.63,262450,26.6,2
189,2020/10/14,43.8,433,2.54,99.2,24.08,120.5,1.76,524900,26.8,2
190,2020/10/15,,760,12.38,499.8,25.11,121.26,22,3439,25,1
191,2020/10/15,52.2,1065,18.23,246.4,24.107,120.44,4.63,258200,26.9,2
192,2020/10/15,52.7,2084,18.23,492.8,24.107,120.44,4.63,129100,26.9,2
193,2020/10/15,51.7,369,18.23,99.2,24.08,120.5,1.76,516400,27.1,2
194,2020/10/16,,822,17.1,499.8,25.11,121.26,22,4750,25.1,1
195,2020/10/16,46.6,2011,17.62,492.8,24.107,120.44,4.63,122392,26.6,2
196,2020/10/16,46.7,1026,17.62,246.4,24.107,120.44,4.63,244783,26.6,2
197,2020/10/16,52.5,409,17.62,99.2,24.08,120.5,1.76,489567,27.1,2
198,2020/10/17,,240,4.77,499.8,25.11,121.26,22,1325,22.6,1
199,2020/10/17,33.3,973,16.79,246.4,24.107,120.44,4.63,229075,25.4,2
200,2020/10/17,34,1911,16.79,492.8,24.107,120.44,4.63,114538,25.4,2
201,2020/10/17,39.6,377,16.79,99.2,24.08,120.5,1.76,458150,25.8,2
202,2020/10/18,,315,3.07,499.8,25.11,121.26,22,853,22.3,1
203,2020/10/18,36.4,1153,20.51,246.4,24.107,120.44,4.63,273817,24.6,2
204,2020/10/18,36.5,2268,20.51,492.8,24.107,120.44,4.63,136921,24.6,2
205,2020/10/18,41.4,461,20.51,99.2,24.08,120.5,1.76,547683,24.9,2
206,2020/10/19,,535,7.93,499.8,25.11,121.26,22,2203,22.7,1
207,2020/10/19,37.7,2263,20.29,492.8,24.107,120.44,4.63,130121,24.7,2
208,2020/10/19,37.8,1153,20.29,246.4,24.107,120.44,4.63,260242,24.7,2
209,2020/10/19,42,463,20.29,99.2,24.08,120.5,1.76,520483,24.8,2
210,2020/10/20,,795,7.53,499.8,25.11,121.26,22,2092,23.7,1
211,2020/10/20,38,2230,19.58,492.8,24.107,120.44,4.63,137746,25.2,2
212,2020/10/20,38,1137,19.58,246.4,24.107,120.44,4.63,270958,25.2,2
213,2020/10/20,45,450,19.58,99.2,24.08,120.5,1.76,550983,25.4,2
214,2020/10/21,,973,13.46,499.8,25.11,121.26,22,3739,24.7,1
215,2020/10/21,39.5,238,9.78,99.2,24.08,120.5,1.76,293733,26.1,2
216,2020/10/21,42.9,1247,9.78,492.8,24.107,120.44,4.63,73433,26.1,2
217,2020/10/21,43,632,9.78,246.4,24.107,120.44,4.63,146867,26.1,2
218,2020/10/22,,425,3.76,499.8,25.11,121.26,22,1044,20.6,1
219,2020/10/22,30.2,1183,14.14,492.8,24.107,120.44,4.63,70863,23.4,2
220,2020/10/22,30.8,600,14.14,246.4,24.107,120.44,4.63,141725,23.4,2
221,2020/10/22,36,325,14.14,99.2,24.08,120.5,1.76,283450,23.5,2
222,2020/10/23,,295,3.2,499.8,25.11,121.26,22,889,20.1,1
223,2020/10/23,22.4,199,8.42,99.2,24.08,120.5,1.76,181350,21.1,2
224,2020/10/23,23.3,456,8.42,246.4,24.107,120.44,4.63,90675,21.4,2
225,2020/10/23,23.4,906,8.42,492.8,24.107,120.44,4.63,45338,21.4,2
226,2020/10/24,,1676,13.32,499.8,25.11,121.26,22,3700,21.9,1
227,2020/10/24,40.4,331,11.18,99.2,24.08,120.5,1.76,383483,23.3,2
228,2020/10/24,39.1,1734,11.18,492.8,24.107,120.44,4.63,95871,23.5,2
229,2020/10/24,39.1,873,11.18,246.4,24.107,120.44,4.63,191742,23.5,2
230,2020/10/25,,2114,18.45,499.8,25.11,121.26,22,5125,23.7,1
231,2020/10/25,37.9,287,10.73,99.2,24.08,120.5,1.76,370883,24.4,2
232,2020/10/25,39.3,1618,10.73,492.8,24.107,120.44,4.63,92721,24.4,2
233,2020/10/25,39.4,818,10.73,246.4,24.107,120.44,4.63,185442,24.4,2
234,2020/10/26,39.7,1192,18.77,246.4,24.107,120.44,4.63,248425,25,2
235,2020/10/26,39.8,2350,18.77,492.8,24.107,120.44,4.63,124213,25,2
236,2020/10/26,43.2,457,18.77,99.2,24.08,120.5,1.76,496850,25.1,2
237,2020/10/26,,1911,20.08,499.8,25.11,121.26,22,5578,25.2,1
238,2020/10/27,40.9,2087,16.57,492.8,24.107,120.44,4.63,119525,25.5,2
239,2020/10/27,41.5,1058,16.57,246.4,24.107,120.44,4.63,239050,25.5,2
240,2020/10/27,,2056,19.53,499.8,25.11,121.26,22,5425,25.5,1
241,2020/10/27,53.4,411,16.57,99.2,24.08,120.5,1.76,478100,25.8,2
242,2020/10/28,,1572,18.25,499.8,25.11,121.26,22,5069,25.4,1
243,2020/10/28,38.4,2288,18.37,492.8,24.107,120.44,4.63,131158,25.5,2
244,2020/10/28,38.6,1162,18.37,246.4,24.107,120.44,4.63,262317,25.5,2
245,2020/10/28,43.8,433,18.37,99.2,24.08,120.5,1.76,524633,25.6,2
246,2020/10/29,,631,8.56,499.8,25.11,121.26,22,2378,23.8,1
247,2020/10/29,38.1,970,15.25,246.4,24.107,120.44,4.63,214575,24.8,2
248,2020/10/29,38.2,1921,15.25,492.8,24.107,120.44,4.63,107288,24.8,2
249,2020/10/29,43.4,387,15.25,99.2,24.08,120.5,1.76,429150,24.8,2
250,2020/10/30,,1135,4.71,499.8,25.11,121.26,22,1308,22.2,1
251,2020/10/30,35.1,1138,18,246.4,24.107,120.44,4.63,255292,23.9,2
252,2020/10/30,35.4,2242,18,492.8,24.107,120.44,4.63,127650,23.9,2
253,2020/10/30,39.3,444,18,99.2,24.08,120.5,1.76,510600,24.1,2
254,2020/10/31,,1678,19.06,499.8,25.11,121.26,22,5294,22.6,1
255,2020/10/31,34.5,401,15.83,99.2,24.08,120.5,1.76,519933,23.3,2
256,2020/10/31,35.9,1126,15.83,246.4,24.107,120.44,4.63,259967,23.4,2
257,2020/10/31,37.3,2219,15.83,492.8,24.107,120.44,4.63,129983,23.4,2
258,2020/11/1,46.1,1058,16.44,246.4,24.107,120.44,4.63,248150,24.1,2
259,2020/11/1,46.2,2084,16.44,492.8,24.107,120.44,4.63,124075,24.1,2
260,2020/11/1,51.5,408,16.44,99.2,24.08,120.5,1.76,496300,24.5,2
261,2020/11/1,,1924,19.14,499.8,25.11,121.26,22,5317,25,1
262,2020/11/2,,1522,11.22,499.8,25.11,121.26,22,3117,23.7,1
263,2020/11/2,37.4,1043,17.15,246.4,24.107,120.44,4.63,243508,24.1,2
264,2020/11/2,37.5,2070,17.15,492.8,24.107,120.44,4.63,121754,24.1,2
265,2020/11/2,38.8,418,17.15,99.2,24.08,120.5,1.76,487017,24.2,2
266,2020/11/3,,501,3.77,499.8,25.11,121.26,22,1047,20.3,1
267,2020/11/3,34.1,2140,17.28,492.8,24.107,120.44,4.63,119525,22.9,2
268,2020/11/3,34.8,1085,17.28,246.4,24.107,120.44,4.63,239050,22.9,2
269,2020/11/3,37.8,416,17.28,99.2,24.08,120.5,1.76,478100,23.3,2
270,2020/11/4,,1800,8.31,499.8,25.11,121.26,22,2308,21.2,1
271,2020/11/4,36.6,1660,11.82,492.8,24.107,120.44,4.63,99875,22.5,2
272,2020/11/4,37.3,839,11.82,246.4,24.107,120.44,4.63,199750,22.5,2
273,2020/11/4,41.5,337,11.82,99.2,24.08,120.5,1.76,399500,22.7,2
274,2020/11/5,,1241,14.59,499.8,25.11,121.26,22,4053,22.2,1
275,2020/11/5,37.4,1099,17.61,246.4,24.107,120.44,4.63,253933,23.3,2
276,2020/11/5,38.2,2158,17.61,492.8,24.107,120.44,4.63,126967,23.3,2
277,2020/11/5,46.5,419,17.61,99.2,24.08,120.5,1.76,507867,23.4,2
278,2020/11/6,30.4,179,12.65,99.2,24.08,120.5,1.76,122450,24.3,2
279,2020/11/6,26.4,569,12.65,492.8,24.107,120.44,4.63,30613,24.4,2
280,2020/11/6,26.4,288,12.65,246.4,24.107,120.44,4.63,61225,24.4,2
281,2020/11/6,,1950,17.39,499.8,25.11,121.26,22,4831,27,1
282,2020/11/7,33.9,680,6.3,492.8,24.107,120.44,4.63,37021,24.4,2
283,2020/11/7,33.9,342,6.3,246.4,24.107,120.44,4.63,74042,24.4,2
284,2020/11/7,32.4,160,6.3,99.2,24.08,120.5,1.76,148083,24.7,2
285,2020/11/7,,1151,10.44,499.8,25.11,121.26,22,2900,24.7,1
286,2020/11/8,,352,2.75,499.8,25.11,121.26,22,764,19.6,1
287,2020/11/8,27.2,669,9.31,246.4,24.107,120.44,4.63,143658,21.8,2
288,2020/11/8,27.3,1310,9.31,492.8,24.107,120.44,4.63,71863,21.8,2
289,2020/11/8,27.8,253,9.31,99.2,24.08,120.5,1.76,287450,21.8,2
290,2020/11/9,,547,8.84,499.8,25.11,121.26,22,2456,20.5,1
291,2020/11/9,27.7,159,6.87,99.2,24.08,120.5,1.76,160900,21.7,2
292,2020/11/9,27.1,798,6.87,492.8,24.107,120.44,4.63,40225,21.8,2
293,2020/11/9,27.1,403,6.87,246.4,24.107,120.44,4.63,83175,21.8,2
294,2020/11/10,,595,8.26,499.8,25.11,121.26,22,2294,20.4,1
295,2020/11/10,33.2,225,7.66,99.2,24.08,120.5,1.76,232967,21.3,2
296,2020/11/10,28.9,1113,7.66,492.8,24.107,120.44,4.63,58242,21.4,2
297,2020/11/10,28.9,562,7.66,246.4,24.107,120.44,4.63,116483,21.4,2
298,2020/11/11,,1746,16.75,499.8,25.11,121.26,22,4653,21.6,1
299,2020/11/11,35.4,2312,18.71,492.8,24.107,120.44,4.63,137325,22.6,2
300,2020/11/11,35.4,1180,18.71,246.4,24.107,120.44,4.63,274650,22.6,2
301,2020/11/11,41.6,440,18.71,99.2,24.08,120.5,1.76,549300,22.7,2
302,2020/11/12,,848,13.28,499.8,25.11,121.26,22,3689,22.5,1
303,2020/11/12,35.1,2219,17.87,492.8,24.107,120.44,4.63,128329,23.4,2
304,2020/11/12,35.1,1132,17.87,246.4,24.107,120.44,4.63,256675,23.4,2
305,2020/11/12,43,399,17.87,99.2,24.08,120.5,1.76,513317,23.4,2
306,2020/11/13,,259,3.51,499.8,25.11,121.26,22,975,21.4,1
307,2020/11/13,25.2,152,,99.2,24.08,120.5,1.76,112850,22.8,2
308,2020/11/13,23.7,759,,492.8,24.107,120.44,4.63,28213,23,2
309,2020/11/13,23.7,382,,246.4,24.107,120.44,4.63,56425,23,2
310,2020/11/14,,617,8.97,499.8,25.11,121.26,22,2492,21.8,1
311,2020/11/14,43.4,222,7.28,99.2,24.08,120.5,1.76,243067,23.4,2
312,2020/11/14,34.5,1147,7.28,492.8,24.107,120.44,4.63,60767,23.6,2
313,2020/11/14,35,580,7.28,246.4,24.107,120.44,4.63,121525,23.6,2
314,2020/11/15,34.3,1772,11.79,492.8,24.107,120.44,4.63,103775,24,2
315,2020/11/15,34.3,903,11.79,246.4,24.107,120.44,4.63,207575,24,2
316,2020/11/15,40.3,328,11.79,99.2,24.08,120.5,1.76,415100,24,2
317,2020/11/15,,1782,17.02,499.8,25.11,121.26,22,4728,24.6,1
318,2020/11/16,41.9,947,14.8,246.4,24.107,120.44,4.63,211250,24,2
319,2020/11/16,42.1,1861,14.8,492.8,24.107,120.44,4.63,105621,24,2
320,2020/11/16,47.5,359,14.8,99.2,24.08,120.5,1.76,422483,24.6,2
321,2020/11/16,,1632,16.28,499.8,25.11,121.26,22,4522,24.9,1
322,2020/11/17,43.2,2018,15.24,492.8,24.107,120.44,4.63,114113,24.3,2
323,2020/11/17,43.2,1033,15.24,246.4,24.107,120.44,4.63,228225,24.3,2
324,2020/11/17,39.7,379,15.24,99.2,24.08,120.5,1.76,456450,24.9,2
325,2020/11/17,,1733,13.81,499.8,25.11,121.26,22,3836,26,1
326,2020/11/18,38.2,1024,17.04,246.4,24.107,120.44,4.63,229367,23.4,2
327,2020/11/18,38.3,2004,17.04,492.8,24.107,120.44,4.63,114679,23.4,2
328,2020/11/18,,1644,15.67,499.8,25.11,121.26,22,4353,23.5,1
329,2020/11/18,41.6,398,17.04,99.2,24.08,120.5,1.76,458717,24.3,2
330,2020/11/19,,1379,13.1,499.8,25.11,121.26,22,3639,23.9,1
331,2020/11/19,41.9,1053,17.12,246.4,24.107,120.44,4.63,246975,25.5,2
332,2020/11/19,42.5,2078,17.12,492.8,24.107,120.44,4.63,123488,25.5,2
